address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
721 Walton Ave APT B11,10451,1975,40.824207,-73.9264,,2,1,,60,47,85
930 Grand Concourse APT 4C,10451,2795,40.828156,-73.921364,,1,1,,60,58,88
331 E 159th St APT 3,10451,3494,40.823624,-73.91639,,3,1,,44,59,88
792 Courtlandt Ave APT 3F,10451,2600,40.822536,-73.91642,,1,1,,47,63,85
675 Walton Ave APT 2D,10451,2450,40.822964,-73.926735,,1,1,,59,50,85
308 E 151st St #B1,10451,2350,40.818142,-73.92052,,2,1,,57,72,85
322 Grand Concourse #13D,10451,2550,40.814747,-73.92885,,1,1,,68,28,81
185 E 162nd St APT 5C,10451,2100,40.827667,-73.92116,,1,1,,60,62,85
728 Courtlandt Ave #3U,10451,2250,40.820965,-73.91756,,2,1,,45,71,88
